num,Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
1,1_1,Khách sạn Mường Thanh Luxury Nha Trang (Muong Thanh Luxury Nha Trang Hotel),5 sao trên 5,"60 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam","8,8","9,4","8,9","8,9","8,7","8,7","8,3"
2,1_2,ALPHA BIRD NHA TRANG,4 sao trên 5,"51/19/37 Tue Tinh St, Loc Tho Ward, Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000","7,7","7,8","7,6","8,1","7,5","8,1",
3,1_3,Khách sạn Aaron (Aaron Hotel),3.5 sao trên 5,"6Trần Quang Khải, Lộc Thọ, Nha Trang, Việt Nam, 65000","8,5","8,9","8,7","8,8","8,1","8,5",
4,1_4,Panorama Star Beach Nha Trang,5 sao trên 5,"02 Nguyen Thi Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,8","9,6","8,9","8,9","8,7","9,0",
5,1_5,Khách sạn Balcony Nha Trang (Balcony Nha Trang Hotel),4 sao trên 5,"98B/13 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam","8,4","8,5","8,7","8,5","8,3","8,6","8,7"
6,1_6,Căn hộ Kymodo Panorama (Kymodo Panorama Apartment),5 sao trên 5,"02 Nguyen Thi Minh Khai Street, Panorama Building, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,8","9,6","8,9","8,7","8,8","9,1",
7,1_7,Khách sạn Mega Light (Mega Light Hotel),3 sao trên 5,"86/9 Bac Son St, Vĩnh Hải, Nha Trang, Việt Nam, 650000","7,7","7,7","7,9","8,1","7,7","8,0",
8,1_8,Navada Beach Hotel,4.5 sao trên 5,"09-10 Phạm Văn Đồng, Phường Vĩnh Hải , Tp Nha Trang , Khánh Hòa, Vietnam, Vĩnh Hải, Nha Trang, Việt Nam, 650000","9,1","9,2","9,4","9,4","9,1","9,3",
9,1_9,Khách Sạn Anrizon Nha Trang (Anrizon Hotel Nha Trang),4 sao trên 5,"4 Phạm Văn Đồng, Vĩnh Phước, Nha Trang, Việt Nam, 650000","8,7","8,9","8,9","8,8","8,7","8,9",
10,1_10,Olwen Hotel,3 sao trên 5,"176/11 Hùng Vương, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,2","8,9","8,3","8,6","8,0","8,6",
11,1_11,RIS Panorama Nha Trang,5 sao trên 5,"02 Nguyễn Thị Minh Khai, Nha Trang, Khánh Hòa , RIS Panorama Nha Trang , Lộc Thọ, Nha Trang, Việt Nam, 650000","8,9","9,6","9,0","8,9","8,9","9,0",
12,1_12,Khách sạn AZURA (Azura Hotel),2.5 sao trên 5,"6/3 Trần Quang Khải, Phường Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 65000","8,3","9,0","8,3","8,6","7,4","8,4","8,4"
13,1_13,Senkotel Nha Trang do NEST Group quản lý (Senkotel Nha Trang Managed by NEST Group),2 sao trên 5,"64/15 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam","8,2","8,7","8,2","8,6","7,8","8,4",
14,1_14,Khu nghỉ dưỡng bãi biển Meliá Vinpearl Cam Ranh (Meliá Vinpearl Cam Ranh Beach Resort),5 sao trên 5,"D6B2 , D7A1 Nguyen Tat Thanh, Cam Hải Đông, Nha Trang, Việt Nam, 650000","8,8","8,0","9,2","9,3","8,8","9,2",
15,1_15,Khách Sạn Erica Nha Trang (Erica Nha Trang Hotel),4 sao trên 5,"17 Biệt Thự, Lộc Thọ, Nha Trang, Việt Nam","8,7","9,1","8,9","8,9","8,5","8,8",
16,1_16,The Summer Hotel,4 sao trên 5,"34C-D Nguyễn Thiện Thuật , Tân Lập, Nha Trang, Việt Nam, 650000","8,3","8,4","8,3","8,5","7,9","8,2","8,1"
17,1_17,Panorama Nha Trang Ocean View,5 sao trên 5,"2 Nguyễn Thị Minh Khai, Panorama Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000","7,7","9,0","7,6","7,4","7,6","7,7",
18,1_18,Pavillon Boutique Hotel & Apartment Nha Trang,4 sao trên 5,"100 Trần Ph&#250;, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,7","8,9","9,1","8,7","8,4","8,8",
19,1_19,Royal HPM Hotel,4 sao trên 5,"34/8 Nguyen Thien Thuat street, Tân Lập, Nha Trang, Việt Nam, 0258","8,0","8,1","8,2","8,5","7,9","8,3",
20,1_20,Golden Lotus Central Hotel,3 sao trên 5,"64B/15 Tran Phu Street, Loc Tho Ward , Nha Trang City, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,3","8,9","8,3","8,5","8,1","8,5",
21,1_21,Libra Nha Trang Hotel,4 sao trên 5,"04 Hung Vuong Loc Tho Ward, Lộc Thọ, Nha Trang, Việt Nam, 650000","9,0","9,3","9,2","9,1","8,8","9,2",
22,1_22,Khách Sạn Apollo Nha Trang (Apollo Hotel Nha Trang),3 sao trên 5,"64/10 Tran Phu, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,0","8,8","8,1","8,2","7,5","8,1",
23,1_23,Holi Panorama Nha Trang,4 sao trên 5,"02 Nguyen Thi Minh Khai, Lộc Thọ, Nha Trang, Việt Nam, 650000","8,3","9,3","8,2","8,1","8,1","8,4",
24,1_24,Khu nghỉ dưỡng Alma Cam Ranh (Alma Resort Cam Ranh),5 sao trên 5,"Resort Area In The North Of Cam Ranh Peninsula, Cam Hai Dong Commune, Cam Lam District, Khanh Hoa Province, Vietnam, Cam Hải Đông, Nha Trang, Việt Nam, 650000","8,9","8,6","9,2","9,2","9,2","9,2",
25,1_25,Khách sạn Marilyn Boutique Nha Trang (Marilyn Boutique Hotel Nha Trang),3 sao trên 5,"51 Duong Hien Quyen, Vĩnh Hòa, Nha Trang, Việt Nam, 650000","9,1","9,0","9,6","9,5","9,2","9,5",
26,1_26,khách sạn phố ngọc,3 sao trên 5,"252 Dã Tượng, khách sạn Phố Ngọc, Vĩnh Nguyên, Nha Trang, Việt Nam","8,6","8,6","8,7","8,8","8,5","8,9",
27,1_27,Khách Sạn Smile (Smile Hotel),No information,"45/1 Hung Vuong, Loc Tho, Lộc Thọ, Nha Trang, Việt Nam","8,4","8,9","8,5","8,7","8,1","8,7",
28,1_28,Khách Sạn Regalia Gold (Regalia Gold Hotel),5 sao trên 5,"39 - 41 Nguyen Thi Minh Khai Street, Tân Lập, Nha Trang, Việt Nam, 650000","9,1","9,7","9,2","9,2","9,1","9,4",
29,1_29,Khách sạn Paris Nha Trang (Paris Nha Trang Hotel and Apartment),4 sao trên 5,"96B1/6 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam","8,1","8,2","8,3","8,3","7,7","8,2","8,6"
30,1_30,Areca Hotel Nha Trang,4 sao trên 5,"46A đường Ho&#224;ng Văn Thụ, phường Vạn Thạnh, Tp. Nha Trang, Tỉnh Kh&#225;nh H&#242;a, Xương Huân, Nha Trang, Việt Nam, 650000","8,9","9,0","9,2","9,1","8,9","9,2",
31,2_1,Khách sạn New Sun Nha Trang (New Sun Hotel Nha Trang),3 sao trên 5,"2/3 Hùng Vương, Nha Trang, Lộc Thọ, Nha Trang, Việt Nam","8,4","8,8","8,6","8,7","8,0","8,6","6,0"
